From the Audobon Societal Report on Bird Migration - http://web4.audubon.org/bird/bacc/techreport.html as reported on by the EPA,,,,,,,,,,,,,,,,,,,
"List of 305 species included in the analysis, along with their habitat guild classification, latitudinal distances moved, change in average distance from the coast, and continental population trend estimates.",,,,,,,,,,,,,,,,,,,
Species,Scientific_name,Habitat Guild (3 classes),Habitat Guild (5 classes),Feeder use,Mean latitude (40-year ave from regression),Latitudinal distance moved (miles),Lat. direction moved,F-value latitude slope,p-value slope,Mean dist. from coast (40-yr ave. from regression),Change in mean dist. from coast (miles),Shifted inland or to coast,F-value slope dist. to coast,p-value slope dist. to coast,# state or province strata,40-year Median Trend (% change per year),95% LCI Trend,95% UCI Trend,% of hemispheric range in CBC survey area
Greater White-fronted Goose,Anser albifrons,wetland/aquatic,wetland/aquatic,rarely/never,32.95,-60.6,S,20.7,<0.0001,237.5,-28.1,to coast,14.48,0.0005,41,10.1,7.8,12.4,46.3
Snow Goose,Chen caerulescens,wetland/aquatic,wetland/aquatic,rarely/never,33.14,217.1,N,165.8,<0.0001,280,149.2,inland,99.44,<0.0001,51,7.3,5.1,9.5,84.7
Ross's Goose,Chen rossii,wetland/aquatic,wetland/aquatic,rarely/never,34.68,-52.3,S,88.85,<0.0001,412.6,48.4,inland,3.06,0.0881,29,15.8,12.7,18.8,75.7
Brant,Branta bernicla,coastal,coastal,rarely/never,41.9,193.4,N,105.4,<0.0001,,,,,,18,3.8,0.8,6.6,53.7
"""Canada"" Goose (lumped)",,wetland/aquatic,wetland/aquatic,occasionally,41.03,119.9,N,79.24,<0.0001,421.9,281.5,inland,821.83,<0.0001,55,11,9.6,12.7,93.8
Mute Swan,Cygnus olor,wetland/aquatic,wetland/aquatic,rarely/never,43.52,-122.9,S,111.9,<0.0001,276.1,234.4,inland,1056.23,<0.0001,32,8.8,7.3,10,95.2
Trumpeter Swan,Cygnus buccinator,wetland/aquatic,wetland/aquatic,rarely/never,52.23,-36.4,S,14.57,0.0005,162.2,28.8,inland,15.87,0.0003,25,12.1,10.1,14.3,90.6
Tundra Swan,Cygnus columbianus,wetland/aquatic,wetland/aquatic,rarely/never,41.24,129.1,N,441.63,<0.0001,231.8,1.7,inland,0.02,0.8791,46,-0.41,-5.1,1.7,78.1
Wood Duck,Aix sponsa,wetland/aquatic,wetland/aquatic,rarely/never,33.79,37.1,N,39.68,<0.0001,182.4,12.2,inland,22.15,<0.0001,51,3.7,2.6,4.6,81.2
Gadwall,Anas strepera,wetland/aquatic,wetland/aquatic,rarely/never,33.91,148.9,N,383.38,<0.0001,272.3,20,inland,8.18,0.0069,53,5.1,4.2,6,72.1
American Wigeon,Anas americana,wetland/aquatic,wetland/aquatic,rarely/never,42.02,-70.7,S,18.88,0.0001,184,41.3,inland,238.2,<0.0001,53,1,0.1,1.8,61.7
American Black Duck,Anas rubripes,wetland/aquatic,wetland/aquatic,rarely/never,42.8,182,N,355.14,<0.0001,160.7,-71.1,to coast,233.57,<0.0001,41,0.2,-0.4,0.9,99.1
Blue-winged Teal,Anas discors,wetland/aquatic,wetland/aquatic,rarely/never,30.71,-4.2,S,0.78,0.3839,129.7,0.7,inland,0.07,0.7908,48,2.7,1.7,3.8,17.9
Cinnamon Teal,Anas cyanoptera,wetland/aquatic,wetland/aquatic,rarely/never,35.72,159.4,N,164.53,<0.0001,202.2,-65,to coast,200.26,<0.0001,14,2.1,0.8,3.3,8.5
Northern Shoveler,Anas clypeata,wetland/aquatic,wetland/aquatic,rarely/never,34.03,78.5,N,79.66,<0.0001,232.2,15,inland,7.24,0.0105,48,5.7,4.7,6.8,47.5
Northern Pintail,Anas acuta,wetland/aquatic,wetland/aquatic,rarely/never,36.61,91,N,23.88,<0.0001,226.8,27,inland,38.47,<0.0001,55,-2.39,-3.3,-1.6,62.1
Green-winged Teal,Anas crecca,wetland/aquatic,wetland/aquatic,rarely/never,36.56,157.2,N,40.65,<0.0001,254.4,35.3,inland,56.18,<0.0001,54,1.1,0.1,1.9,70
Canvasback,Aythya valisineria,wetland/aquatic,wetland/aquatic,rarely/never,36.68,-74.4,S,19.32,<0.0001,225.2,109.7,inland,233.8,<0.0001,49,-2.46,-3.4,-1.6,73.4
Redhead,Aythya americana,wetland/aquatic,wetland/aquatic,rarely/never,35.68,68.1,N,10.91,0.0021,342.7,87.6,inland,126.87,<0.0001,51,2,0.8,3.2,65
Ring-necked Duck,Aythya collaris,wetland/aquatic,wetland/aquatic,rarely/never,35.78,219.2,N,787.35,<0.0001,228.1,84.4,inland,805.93,<0.0001,52,4.1,3.3,4.8,69.9
Greater Scaup,Aythya marila,wetland/aquatic,wetland/aquatic,rarely/never,50.69,-135.7,S,420.31,<0.0001,132.3,11,inland,18.64,0.0001,49,-1.98,-3.7,-0.4,58.2
Lesser Scaup,Aythya affinis,wetland/aquatic,wetland/aquatic,rarely/never,34.44,61,N,3.64,0.0638,191.3,85.9,inland,73.59,<0.0001,54,0.4,-0.9,1.5,51.5
King Eider,Somateria spectabilis,coastal,coastal,rarely/never,55.46,-62.6,S,1.22,0.2762,,,,,,14,-1.7,-6.7,2.8,9
Common Eider,Somateria mollissima,coastal,coastal,rarely/never,45.01,-13,S,6.8,0.0129,,,,,,14,4.7,3.3,6.3,1.6
Harlequin Duck,Histrionicus histrionicus,coastal,coastal,rarely/never,55.48,-14.7,S,29.56,<0.0001,,,,,,22,0.7,-0.2,1.6,4.5
Surf Scoter,Melanitta perspicillata,coastal,coastal,rarely/never,51.31,-47.3,S,29.85,<0.0001,,,,,,33,-0.64,-1.9,0.5,3.4
White-winged Scoter,Melanitta fusca,wetland/aquatic,wetland/aquatic,rarely/never,50.81,130.3,N,69.72,<0.0001,81.1,-13.8,to coast,64.16,<0.0001,39,-3.19,-4.3,-2.2,3.8
Black Scoter,Melanitta nigra,coastal,coastal,rarely/never,50.04,-233.1,S,17.85,0.0001,,,,,,30,-1.95,-4,0.1,5.3
Long-tailed Duck,Clangula hyemalis,wetland/aquatic,wetland/aquatic,rarely/never,48.53,-45.9,S,48.23,<0.0001,64.6,-16.1,to coast,15.38,0.0004,49,-1.51,-3.1,-0.3,13.4
Bufflehead,Bucephala albeola,wetland/aquatic,wetland/aquatic,rarely/never,45.93,-267.4,S,464.49,<0.0001,156.1,48,inland,347.75,<0.0001,53,3,2.2,3.6,72.4
Common Goldeneye,Bucephala clangula,wetland/aquatic,wetland/aquatic,rarely/never,46.65,-122.7,S,329.88,<0.0001,359.9,141.6,inland,549.7,<0.0001,55,1.3,0.6,1.9,92.4
Barrow's Goldeneye,Bucephala islandica,wetland/aquatic,wetland/aquatic,rarely/never,52.66,-80.7,S,225.45,<0.0001,157.5,26.6,inland,61.76,<0.0001,29,1.7,0.8,2.7,69.8
Hooded Merganser,Lophodytes cucullatus,wetland/aquatic,wetland/aquatic,rarely/never,38.76,-93.4,S,11.07,0.002,187,42.4,inland,111.08,<0.0001,52,5.7,4.4,6.5,97.6
Common Merganser,Mergus merganser,wetland/aquatic,wetland/aquatic,rarely/never,45.85,105.6,N,32.2,<0.0001,337,-37.9,to coast,18.47,0.0001,54,2.4,1.3,3.2,91.5
Red-breasted Merganser,Mergus serrator,wetland/aquatic,wetland/aquatic,rarely/never,42.38,316.9,N,607.74,<0.0001,105.1,43.6,inland,206.54,<0.0001,53,-0.09,-1,0.7,7.8
Ruddy Duck,Oxyura jamaicensis,wetland/aquatic,wetland/aquatic,rarely/never,36.35,13.5,N,4.35,0.0437,161.9,37.1,inland,166.13,<0.0001,45,0.4,-1,1.5,56.1
Chukar,Alectoris chukar,land-based,grassland,occasionally,46.75,-234.5,S,208.14,<0.0001,300,158.2,inland,137.4,<0.0001,11,-2.48,-9.7,2,100
Gray Partridge,Perdix perdix,land-based,grassland,occasionally,48.7,-0.3,S,0,0.9872,787.7,-5.1,to coast,0.05,0.8189,20,-2.33,-4.8,-0.5,91.6
Ring-necked Pheasant,Phasianus colchicus,land-based,grassland,occasionally,43.71,110.8,N,333.38,<0.0001,730.3,246.7,inland,131.23,<0.0001,46,-0.97,-2,0.3,96.3
Ruffed Grouse,Bonasa umbellus,land-based,woodland,occasionally,46.87,4.7,N,0.4,0.5332,440.4,-54.3,to coast,9.87,0.0033,35,-2.54,-3,-2.1,49.4
Spruce Grouse,Falcipennis canadensis,land-based,woodland,rarely/never,50.63,316.1,N,750.25,<0.0001,341.2,-409.7,to coast,500.79,<0.0001,10,0.4,-3.3,2.9,22
"""Blue"" Grouse (lumped)",,land-based,woodland,rarely/never,47.3,4.7,N,0.21,0.6502,381.4,71.4,inland,84.28,<0.0001,9,-4.29,-6.7,-2.1,74.4
Sharp-tailed Grouse,Tympanuchus phasianellus,land-based,shrubland,rarely/never,48.51,-140.1,S,109.25,<0.0001,881.6,65.3,inland,51.09,<0.0001,15,1.2,-0.7,3.2,36.8
Greater Prairie-Chicken,Tympanuchus cupido,land-based,grassland,rarely/never,41,26.6,N,16.02,0.0003,813.1,18.7,inland,6.44,0.0154,8,-8.13,-16,-1.3,100
Wild Turkey,Meleagris gallopavo,land-based,woodland,occasionally,40.05,407.6,N,2290.16,<0.0001,555.8,173.4,inland,115.28,<0.0001,51,14.3,2.7,16.7,90
California Quail,Callipepla californica,land-based,shrubland,occasionally,40.13,117.7,N,131.74,<0.0001,179.8,29.4,inland,37.88,<0.0001,7,0.7,-0.1,1.8,73.8
Gambel's Quail,Callipepla gambelii,land-based,shrubland,occasionally,34.4,4.6,N,26.33,<0.0001,428.7,-21.9,to coast,78.26,<0.0001,7,0.1,-0.9,1.2,74.2
Northern Bobwhite,Colinus virginianus,land-based,shrubland,occasionally,36.31,85.7,N,34.1,<0.0001,454,154.3,inland,129.38,<0.0001,38,-7.52,-8.3,-6.6,84.1
Red-throated Loon,Gavia stellata,wetland/aquatic,wetland/aquatic,rarely/never,45.36,-277.1,S,124,<0.0001,120.4,1.5,inland,1.58,0.2171,30,-0.16,-1.3,1,2.5
"""Arctic"" Loon (lumped)",,coastal,coastal,rarely/never,51.56,-58.9,S,23.96,<0.0001,,,,,,16,0.5,-1.48,2,3
Common Loon,Gavia immer,wetland/aquatic,wetland/aquatic,rarely/never,44.93,-95.4,S,70.93,<0.0001,133.7,12.5,inland,25.8,<0.0001,49,1,0.5,1.6,2.6
Pied-billed Grebe,Podilymbus podiceps,wetland/aquatic,wetland/aquatic,rarely/never,34.45,63.6,N,48,<0.0001,190.1,35.7,inland,57.94,<0.0001,50,1.2,0.8,1.5,31.7
Horned Grebe,Podiceps auritus,wetland/aquatic,wetland/aquatic,rarely/never,47.4,50.5,N,12.21,0.0012,126.8,17.4,inland,214.82,<0.0001,48,-1.18,-2,-0.4,67.2
Red-necked Grebe,Podiceps grisegena,wetland/aquatic,wetland/aquatic,rarely/never,51.34,-73.7,S,119.61,<0.0001,106.5,-9.8,to coast,51.13,<0.0001,30,0.2,-0.8,1.4,6.1
Eared Grebe,Podiceps nigricollis,wetland/aquatic,wetland/aquatic,rarely/never,36.97,-13.2,S,0.64,0.4277,188.1,-30.4,to coast,16.53,0.0002,35,-0.12,-1.2,0.9,34.4
"""Western"" Grebe (lumped)",,wetland/aquatic,wetland/aquatic,rarely/never,46.19,-639.1,S,260.11,<0.0001,136.5,24,inland,123.03,<0.0001,18,-3.02,-4.6,-1.4,30.3
Northern Gannet,Morus bassanus,coastal,coastal,rarely/never,35,83.3,N,15.13,0.0004,,,,,,17,7.9,5,10.8,1.8
American White Pelican,Pelecanus erythrorhynchos,wetland/aquatic,wetland/aquatic,rarely/never,31.38,0.4,N,0,0.9452,189.2,-63.9,to coast,117.35,<0.0001,29,15.1,13,18,43
Double-crested Cormorant,Phalacrocorax auritus,wetland/aquatic,wetland/aquatic,rarely/never,31.92,117.4,N,1318.58,<0.0001,121.3,146.3,inland,223.3,<0.0001,50,6.9,5.6,8.2,57.4
Great Cormorant,Phalacrocorax carbo,coastal,coastal,rarely/never,44.88,-24.9,S,8.22,0.0067,,,,,,14,1.4,-0.8,6.4,11.1
Pelagic Cormorant,Phalacrocorax pelagicus,coastal,coastal,rarely/never,52.1,-60.3,S,80.57,<0.0001,,,,,,5,-0.06,-1.2,1,53.6
American Bittern,Botaurus lentiginosus,wetland/aquatic,wetland/aquatic,rarely/never,35.66,36.8,N,11.49,0.0016,154,-3.8,to coast,1.99,0.1669,31,-2.73,-3.4,-2.1,42.4
Least Bittern,Ixobrychus exilis,wetland/aquatic,wetland/aquatic,rarely/never,31.6,179.5,N,209.79,<0.0001,130.9,115.3,inland,61.42,<0.0001,10,0.5,-2.9,3.4,3.7
Great Blue Heron,Ardea herodias,wetland/aquatic,wetland/aquatic,rarely/never,36.02,-1.5,S,0.04,0.8479,209.7,54.1,inland,590.3,<0.0001,53,2.6,2.4,2.9,69.2
Great Egret,Ardea alba,wetland/aquatic,wetland/aquatic,rarely/never,30.81,109.8,N,544.45,<0.0001,93.6,49.6,inland,1184,<0.0001,29,5.2,4.4,6.2,4.3
Snowy Egret,Egretta thula,wetland/aquatic,wetland/aquatic,rarely/never,31.07,43.3,N,135.99,<0.0001,98.6,2.2,inland,0.34,0.5652,19,4,3.3,4.9,2.4
Little Blue Heron,Egretta caerulea,wetland/aquatic,wetland/aquatic,rarely/never,29.31,-24.5,S,27.84,<0.0001,42.6,-5.5,to coast,3.62,0.0648,15,0.5,0,1.1,5.5
Tricolored Heron,Egretta tricolor,wetland/aquatic,wetland/aquatic,rarely/never,30.06,-13.6,S,11.21,0.0018,81,-22.1,to coast,68.29,<0.0001,13,0.3,-0.4,0.9,16.1
Cattle Egret,Bubulcus ibis,wetland/aquatic,wetland/aquatic,rarely/never,29.44,33.8,N,9.4,0.004,48.1,19.8,inland,9.12,0.0045,19,-1.48,-2.6,-0.5,28.3
Green Heron,Butorides virescens,wetland/aquatic,wetland/aquatic,rarely/never,31.79,61.9,N,43.21,<0.0001,94,25,inland,41.82,<0.0001,30,-0.51,-1,0,18.6
Black-crowned Night-Heron,Nycticorax nycticorax,wetland/aquatic,wetland/aquatic,rarely/never,33.96,-34.1,S,7.1,0.0112,156.4,29,inland,156.02,<0.0001,37,3,2.3,3.8,9.9
Yellow-crowned Night-Heron,Nyctanassa violacea,wetland/aquatic,wetland/aquatic,rarely/never,29.62,35.8,N,116.1,<0.0001,74.4,42.1,inland,78.8,<0.0001,11,0.4,-0.8,1.3,2.6
White Ibis,Eudocimus albus,wetland/aquatic,wetland/aquatic,rarely/never,29.38,99.8,N,632.09,<0.0001,39.1,52.6,inland,543.44,<0.0001,10,5.6,4,7.7,22.3
Glossy Ibis,Plegadis falcinellus,wetland/aquatic,wetland/aquatic,rarely/never,29.26,-68.9,S,233.39,<0.0001,25.1,-17.4,to coast,156.02,<0.0001,10,8.5,5.6,10.1,34.6
Black Vulture,Coragyps atratus,land-based,generalist,rarely/never,31.89,51.9,N,220.39,<0.0001,181.5,69.6,inland,899.14,<0.0001,25,6.7,6,7.3,8.8
Turkey Vulture,Cathartes aura,land-based,generalist,rarely/never,31.83,53.2,N,93.22,<0.0001,142,15.4,inland,33.13,<0.0001,42,4.9,4.4,5.3,7.8
Osprey,Pandion haliaetus,wetland/aquatic,wetland/aquatic,rarely/never,29.99,10.7,N,8.28,0.0065,68.9,30.2,inland,201.46,<0.0001,39,6.7,6.1,7.2,2.8
White-tailed Kite,Elanus leucurus,land-based,generalist,rarely/never,36.25,-0.4,S,0,0.9813,154.9,20.8,inland,12.11,0.0013,7,2.6,1.7,3.6,4.1
Bald Eagle,Haliaeetus leucocephalus,wetland/aquatic,wetland/aquatic,rarely/never,47.83,-47.1,S,21.22,<0.0001,340.4,74.2,inland,174.55,<0.0001,55,6,5.5,6.4,89.7
