"Figure 1. Change in Latitude of Bird Center of Abundance, 1966-2013",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: National Audubon Society, 2014",,,
Web update: May 2014,,,
Units: Average distance moved north (miles),,,
,,,
year,mean distance (miles),lower confidence (miles),upper confidence (miles)
1966,0,0,0
1967,1.234169258,-4.391334123,6.859672639
1968,8.599030614,3.225097431,13.9729638
1969,2.295872289,-4.008747442,8.600492021
1970,3.007814679,-3.183284433,9.198913792
1971,7.178691325,0.47596227,13.88142038
1972,1.091222822,-6.219161926,8.40160757
1973,-1.259309975,-7.148037274,4.629417325
1974,6.643906659,-0.901572338,14.18938566
1975,8.424295079,0.413917651,16.43467251
1976,6.840189997,-1.527713365,15.20809336
1977,6.760570709,-3.611101164,17.13224258
1978,1.9052366,-7.502975833,11.31344903
1979,12.14209345,0.984122206,23.30006469
1980,13.61835832,2.197881371,25.03883526
1981,8.074294109,-2.413447371,18.56203559
1982,12.23714459,2.285464334,22.18882486
1983,17.18041777,5.302736262,29.05809928
1984,16.93528088,4.530650914,29.33991084
1985,13.97254926,1.179589638,26.76550888
1986,10.75650084,-1.943486707,23.45648839
1987,14.8315224,1.637006111,28.02603868
1988,16.22519376,2.750419911,29.6999676
1989,21.80834751,6.933770023,36.68292499
1990,15.00746059,0.045572739,29.96934843
1991,25.19039737,9.166270315,41.21452442
1992,16.10374937,-0.242603812,32.45010255
1993,22.33606951,6.03789238,38.63424663
1994,21.88841693,5.192377507,38.58445635
1995,26.4797776,9.601565175,43.35799003
1996,22.93807387,6.853785452,39.02236229
1997,25.78710131,8.380504162,43.19369846
1998,30.45617576,13.02925369,47.88309784
1999,36.24196053,18.43680035,54.04712071
2000,31.26558945,13.60361143,48.92756747
2001,30.56212236,11.48328628,49.64095843
2002,38.62891189,20.39774779,56.86007599
2003,39.84006999,20.15477348,59.52536651
2004,38.79027198,19.16518346,58.41536051
2005,37.50088673,18.02380193,56.97797153
2006,45.24713787,26.649291,63.84498473
2007,41.42314978,21.59356068,61.25273889
2008,40.2500239,20.53988808,59.96015973
2009,39.77682647,19.1775246,60.37612834
2010,39.83776387,18.3841119,61.29141583
2011,39.98693033,18.36516992,61.60869073
2012,44.04976673,21.46076844,66.63876502
2013,40.73000795,18.67379436,62.78622154
